asset,date,action,price,units,signed_value
ON,2025-01-07,BUY_NEW,62.72999954223633,112.51544539500588,-7058.093838123235
ALB,2025-01-08,BUY_NEW,86.89120483398438,32.555920108577,-2828.8231227131946
ON,2025-01-08,SELL_SL,58.310001373291016,112.51544539500588,6560.7757754992435
BLDR,2025-01-10,BUY_NEW,139.9600067138672,76.9176422618673,-10765.393727385781
BLDR,2025-01-14,SELL_TP,154.25,76.9176422618673,11864.546318893032
MHK,2025-01-14,BUY_NEW,125.58000183105469,92.27369407498215,-11587.730670894438
MHK,2025-01-15,BUY_ADD,130.05999755859375,89.13881412091337,-11593.393946941935
LINK-USD,2025-01-17,BUY_NEW,25.112716674804688,68.32616644075648,-1715.8556593022656
ALB,2025-01-17,SELL_TP,96.94464874267578,32.555920108577,3156.1222394206125
INTC,2025-01-17,BUY_NEW,21.489999771118164,742.8369828130564,-15963.56659063069
MHK,2025-01-17,BUY_ADD,129.27000427246094,89.6772470439479,-11592.57810851368
ALB,2025-01-21,BUY_NEW,93.52389526367188,30.31799519163738,-2835.457006907202
MHK,2025-01-21,BUY_ADD,130.66000366210938,88.78182983935577,-11600.234211938996
ALB,2025-01-22,BUY_ADD,89.74514770507812,31.589663081303538,-2835.0189791852395
MHK,2025-01-23,BUY_ADD,130.8300018310547,88.6400806006814,-11596.781907291983
ALB,2025-01-24,BUY_ADD,88.26348876953125,32.0150296426638,-2825.758209321466
ALB,2025-01-27,SELL_SHORT,88.28337097167969,93.92268791560471,8291.811499910627
INTC,2025-01-27,SELL_SL,20.290000915527344,742.8369828130564,15072.163061364483
LINK-USD,2025-01-28,SELL_SL,22.615997314453125,68.32616644075648,1545.2643967310257
MHK,2025-01-31,SELL_SL,122.30000305175781,448.51166567988054,54852.97808139837
NCLH,2025-01-31,BUY_NEW,28.350000381469727,112.02489122705816,-3175.9057090212036
NCLH,2025-02-07,BUY_ADD,27.329999923706055,116.19082696118008,-3175.495291984395
VST,2025-02-07,BUY_NEW,166.61207580566406,3.1902755500808384,-531.5384317910252
NCLH,2025-02-11,SELL_SL,26.190000534057617,228.21571818823824,5976.969781230302
INTC,2025-02-12,BUY_NEW,22.479999542236328,706.5050726501553,-15882.233709763135
INTC,2025-02-13,BUY_ADD,24.1299991607666,658.9601925095704,-15900.708892234534
INTC,2025-02-18,SELL_TP,27.389999389648438,1365.4652651597257,37400.09277931103
VST,2025-02-21,SELL_SL,150.18048095703125,3.1902755500808384,479.11711649659776
NCLH,2025-02-27,BUY_NEW,23.719999313354492,134.58415493242333,-3192.336062585476
VST,2025-02-27,BUY_NEW,129.7857208251953,4.117248150963763,-534.3600190890346
