asset,date,action,price,units,signed_value
LII,2025-01-02,BUY_NEW,604.52001953125,50.447336558651564,-30496.424881735587
ODFL,2025-01-02,BUY_NEW,175.44882202148438,310.148502953176,-54415.189494861595
PHM,2025-01-02,BUY_NEW,107.41205596923828,317.82838615571774,-34138.600402370634
SOL-USD,2025-01-05,BUY_NEW,213.3936309814453,172.01616731934277,-36707.154531786386
XRP-USD,2025-01-07,BUY_NEW,2.2723500728607178,8123.077703137132,-18458.476210576933
PHM,2025-01-08,SELL_SHORT,110.22608184814453,317.82838615571774,35032.97770606383
LINK-USD,2025-01-13,BUY_NEW,19.361106872558594,958.6634756195419,-18560.78600628842
SOL-USD,2025-01-13,BUY_ADD,182.83535766601562,57.43678366103058,-10501.47488385009
MCHP,2025-01-13,BUY_NEW,55.493446350097656,657.8359920229444,-36505.586330488535
DECK,2025-01-15,BUY_NEW,203.72999572753906,217.8192156829198,-44376.30788045716
LII,2025-01-16,SELL_SHORT,642.8599853515625,50.447336558651564,32430.57404112009
ODFL,2025-01-16,SELL_SHORT,189.61611938476562,310.148502953176,58809.15556297575
INTC,2025-01-17,BUY_NEW,21.489999771118164,2097.09804725164,-45066.63655545009
PHM,2025-01-21,BUY_NEW,115.56475067138672,305.83569015165637,-35343.82527878765
DECK,2025-01-23,SELL_SHORT,218.57000732421875,217.8192156829198,47608.74756717136
MCHP,2025-01-24,SELL_SHORT,55.96986770629883,657.8359920229444,36818.99344596605
GM,2025-01-27,BUY_NEW,54.780372619628906,544.5114453889278,-29828.53987405818
PHM,2025-01-27,SELL_SHORT,117.80001831054688,305.83569015165637,36027.44989988386
GM,2025-02-03,SELL_SHORT,47.778221130371094,544.5114453889278,26015.788245810174
ODFL,2025-02-03,BUY_NEW,181.7587127685547,302.46251666524125,-54975.19768981177
MCHP,2025-02-04,BUY_NEW,52.20810317993164,703.6478430699304,-36736.11919333127
LII,2025-02-05,BUY_NEW,585.030029296875,52.40974430359479,-30661.27424537379
LII,2025-02-07,BUY_ADD,575.1400146484375,0.7390903558189934,-425.08043807225476
MCHP,2025-02-20,SELL_SHORT,63.82093811035156,703.6478430699304,44907.4654440484
LINK-USD,2025-02-21,BUY_ADD,17.39421272277832,134.63141938847107,-2341.807548012647
PHM,2025-02-21,BUY_NEW,102.89165496826172,336.76610925489155,-34650.42231845823
XRP-USD,2025-02-24,BUY_ADD,2.2779290676116943,84.66689901148837,-192.8651903228132
SOL-USD,2025-02-28,SELL_SHORT,148.03001403808594,229.45295098037334,33965.92355470491
GM,2025-02-28,BUY_NEW,49.00509262084961,593.2896702792725,-29074.215243029073
PCG,2025-02-28,BUY_NEW,16.31597137451172,1805.2633741403554,-29454.625535928477
