Asset,Best Model,BIC,const,ar.L1,sigma2
CZR,"(1, 0, 0)",-2137.099847073818,-0.0010043822964165834,-0.037305977750774814,0.00048655014898046635
INTC,"(1, 0, 0)",-1898.7673942356291,-0.0011646850806026712,0.053588329402857265,0.0008265390999080932
MHK,"(1, 0, 0)",-2237.4193647981892,0.0004541988550990914,0.06477291862743491,0.0003894811551383555
BLDR,"(1, 0, 0)",-2146.278472588162,-0.0003041999753905034,-0.0373789390263348,0.00047676391701167845
URI,"(1, 0, 0)",-2284.821016223896,0.0005041192006539262,-0.0715708731742996,0.0003504395699161138
ON,"(1, 0, 0)",-2053.2955195518357,-0.001143230244128673,-0.1533626832236255,0.0005861405436222087
NCLH,"(1, 0, 0)",-2008.3607855423593,0.0005428179134243451,-0.014170236713583407,0.0006478113683514411
ALB,"(1, 0, 0)",-1908.9975438011143,-0.000997254950346266,-0.15140701717266838,0.000807798428328598
VST,"(1, 0, 0)",-1739.1337801054256,0.003166094542804828,-0.0930496393857753,0.0011785702462584746
AVAX-USD,"(1, 0, 0)",-1402.4717488722451,-0.00020328618272655167,0.0036124709886685403,0.0024728122458681123
SOL-USD,"(1, 0, 0)",-1531.4335563619998,0.0014121924364019773,-0.07958867749905012,0.0018553299093538895
LINK-USD,"(1, 0, 0)",-1428.2872826177515,0.0010935634837717968,0.005276466493134,0.0023346808155116075
