Asset,Best Model,BIC,const,ar.L1,sigma2
CZR,"(1, 0, 0)",-1729.8460690017746,-0.00046071477524905807,-0.008144420297765687,0.000497128375226514
INTC,"(1, 0, 0)",-1537.7582758311287,-0.0012179342801367115,0.03165186099105573,0.0008424741609620972
MHK,"(1, 0, 0)",-1794.3432661207385,0.00011741032110522713,0.08746131603343012,0.0004162569135211045
BLDR,"(1, 0, 0)",-1716.9925445099911,-0.0007372994820364422,-0.031177628311905535,0.0005150040760542661
URI,"(1, 0, 0)",-1891.1852591332167,-5.738421152704438e-05,-0.008941060777350488,0.00031902052447782303
ON,"(1, 0, 0)",-1659.5610594529226,-0.0011884806264475525,-0.1653400423439556,0.0006027089278668915
NCLH,"(1, 0, 0)",-1667.885267047666,0.0007398357336582816,0.04616771487221107,0.0005891129777059924
ALB,"(1, 0, 0)",-1544.761619729832,-0.0012204823214187694,-0.17576353385425497,0.0008263329249291786
VST,"(1, 0, 0)",-1378.3949546101408,0.0031699949252561137,-0.10545911972763387,0.0013054201563611216
AVAX-USD,"(1, 0, 0)",-1144.590156253667,-0.0005566483831357234,0.024658364979580454,0.0024816140581274595
SOL-USD,"(1, 0, 0)",-1249.43295642684,0.001279816286726395,-0.08329384116357824,0.0018603776437758099
LINK-USD,"(1, 0, 0)",-1162.582777428556,0.00031320343493887925,0.0311803373398938,0.0023619255381788643
