Asset,Best Model,BIC,const,ar.L1,sigma2
AES,"(1, 0, 0)",-1778.0745907415799,-0.0004566200030307572,-0.037837376284034975,0.0004352793386971794
AKAM,"(1, 0, 0)",-1836.2492570669488,-0.0006597393750383499,6.254920463899583e-05,0.00037098818759450085
ODFL,"(1, 0, 0)",-1881.5448692643981,-0.0004547469715025744,-0.02247986697426857,0.0003275807672782209
TSLA,"(1, 0, 0)",-1422.4987601716816,0.0015764973376141658,0.012919756243448887,0.001156485156342911
STZ,"(1, 0, 0)",-2059.4304043058837,-0.0008185040859416946,-0.03761499209726275,0.00020089627378370138
INTC,"(1, 0, 0)",-1537.7582758311287,-0.0012179342801367115,0.03165186099105573,0.0008424741609620972
DECK,"(1, 0, 0)",-1730.9035226584929,3.9608797016917e-05,-0.03313053258883037,0.0004956832664125739
BLDR,"(1, 0, 0)",-1716.9925445099911,-0.0007372994820364422,-0.031177628311905535,0.0005150040760542661
CBRE,"(1, 0, 0)",-2071.1792753809923,0.0012587421208885795,0.07281562014481092,0.0001945029865749735
MCHP,"(1, 0, 0)",-1776.869304650052,-0.0007900474811615827,-0.04491346716287382,0.00043676086194256736
PHM,"(1, 0, 0)",-1945.8491616135193,-4.9903279532983755e-05,-0.01564493135742188,0.0002745369887898696
CSGP,"(1, 0, 0)",-1998.0320847791388,-0.00028843628110655474,-0.0675337038084527,0.00023785000046723227
MOH,"(1, 0, 0)",-1741.2562327621013,-0.00045737018630573475,-0.09948698088661205,0.0004817366407825478
PLD,"(1, 0, 0)",-2111.292149145877,-5.664542332912184e-05,-0.05549137806778334,0.00017418495131900455
LII,"(1, 0, 0)",-2018.5265481502422,0.0007923896068184858,-0.04438706986227777,0.00022483044876896557
GS,"(1, 0, 0)",-2060.4059351508436,0.001454887558616528,0.020987521044925614,0.00020036441089790052
LRCX,"(1, 0, 0)",-1701.274879545797,-0.00020375731162598442,-0.07657626374454536,0.0005374698551379649
MCO,"(1, 0, 0)",-2308.0903420849004,0.0008305176041315385,0.030160538663002223,0.00010141567033210523
PCG,"(1, 0, 0)",-2146.5640633844932,4.108624312091932e-05,-0.02406182695293088,0.00015808994380422014
CARR,"(1, 0, 0)",-2014.7958663439813,0.0005225855595796645,-0.02770656171674936,0.0002271476922287131
GM,"(1, 0, 0)",-1911.5326803186367,0.0006654849144015206,-0.0471308401038106,0.0003016691755246883
DXCM,"(1, 0, 0)",-1548.2057672892024,-0.00038363214067383105,-0.014556717906687822,0.0008186119373385655
ADI,"(1, 0, 0)",-1907.439108078846,0.0006299141680956687,-0.14412143515064088,0.0003050461965629957
SOL-USD,"(1, 0, 0)",-1249.43295642684,0.001279816286726395,-0.08329384116357824,0.0018603776437758099
LINK-USD,"(1, 0, 0)",-1162.582777428556,0.00031320343493887925,0.0311803373398938,0.0023619255381788643
XRP-USD,"(1, 0, 0)",-1122.6324597429839,0.004686447314266628,0.02790190243846045,0.002635907800652769
ADA-USD,"(1, 0, 0)",-1175.0829002524129,0.0007513078032147791,0.047324971275438506,0.0022821817226444303
LTC-USD,"(1, 0, 0)",-1259.8984804009265,0.0020187551703688376,0.0048108361197204234,0.0018078317751858712
ETH-USD,"(1, 0, 0)",-1384.8082420720216,-0.000537976434471547,-0.045143053482952854,0.001282671278206598
UNI-USD,"(1, 0, 0)",-1286.8938738591546,-0.00036111623489721255,-0.17312277617381105,0.0016784648558669489
