asset,_strategy,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
A,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,90.4,893980.981468589,1071661.5669144026,479.15845723950474,-10.601901853141095,-7.372652333752862,-10.682017248368215,22.740393177065542,-7.465391119568809,-0.46973757952177325,-0.5790633442092009,-0.572825219954314,-3.6912711510888965,0.9373330504701172,-18.647952073793405,-6.041957901022095,284 days 00:00:00,66 days 00:00:00,5,0.0,-1.3848329819930894,-10.611611205168881,-5.295352660126618,329 days,174 days,0.0,-5.225647082700273,-1.0105017591003327,
AAPL,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,77.60000000000001,760892.3277673766,1020715.9175696349,572.4540304320645,-23.910767223262344,35.245424406787585,-24.076924769126094,22.842828811608097,-17.236444045583767,-1.054025531062548,-1.1925485883701856,-0.6615322803639585,12.731383678879329,-1.039628590628777,-36.39569146327912,-18.53907628912991,281 days 00:00:00,142 days 00:00:00,4,25.0,0.05757123775635975,-24.415911404815205,-17.64331965166589,283 days,205 days,0.0008415722287141912,-17.087893777512818,-1.0367267282418948,-2238.205173067566
ABBV,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,90.8,1196069.5979398089,1196069.5979398089,552.9098558295113,19.606959793980884,21.091312940524222,19.778398793244413,29.647574549484844,13.196080541204669,0.6671169258797962,1.0882420121763723,1.0371902694104338,-0.7078962176153851,0.9631859367353043,-19.06920974537003,-4.108013398697546,113 days 00:00:00,27 days 00:00:00,4,50.0,23.78869378947106,-4.861352933589935,8.054946520500517,330 days,181 days,5.344131127164948,8.831464272879828,1.0145494172910172,0.49909549047991514
ABNB,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,87.6,894679.5103770447,1053477.1887889863,473.6579579162598,-10.532048962295534,-13.054098387280138,-10.611668415053288,31.817484861917766,-7.415340752965227,-0.3335168842259545,-0.42143828231421887,-0.34030144525501127,1.6513594313589302,0.9333014071294214,-31.183142366913064,-17.176466803171824,308 days 00:00:00,157 days 00:00:00,2,0.0,-10.47936959454001,-13.1165906071394,-11.80783719272701,318 days,311 days,0.0,-11.797980100839705,-1.0076915562669426,
ABT,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,77.2,1328434.822454835,1340579.952798463,587.1005890931948,32.84348224548351,18.71734767696431,33.14564728172873,23.224765091139208,21.72769677265731,1.4271682469836722,3.2072343623317345,5.124904239299962,17.666590038500786,0.8108463051985257,-6.467564218576749,-2.764847244596878,97 days 00:00:00,20 days 00:00:00,3,100.0,35.73739345106013,34.524389498782114,35.03691233830792,282 days,254 days,,35.037883187610916,1.0070921422183086,
ACGL,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,98.4,896467.264131025,1010858.9047902141,522.7830415973854,-10.353273586897506,12.088552340252022,-10.431621767351585,28.8476682065106,-7.287300954063891,-0.36161057083280246,-0.5012104102796714,-0.34490258531072504,5.466808836908246,-1.3086829571088192,-30.245124889260154,-30.245124889260154,357 days 00:00:00,357 days 00:00:00,1,0.0,-10.36253728515133,-10.36253728515133,-10.36253728515133,358 days,358 days,0.0,-10.36253728515133,,
ACN,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,90.4,1090187.9441399232,1215939.000356804,522.8563826984534,9.018794413992321,-7.39548504204472,9.094130708853921,24.883159779329418,6.160386360049475,0.3654733076306678,0.608422709837743,0.5899136092271878,14.773853470876688,0.7781854772426386,-15.416038156447387,-3.465589479979181,134 days 00:00:00,23 days 00:00:00,2,100.0,19.75541324412422,9.061329919962446,14.283352390096038,329 days,316 days,,14.408371582043333,1.0052231812260495,
ADBE,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,90.4,895815.2397365723,1199402.7875268022,475.46524999999997,-10.418476026342773,-23.184978336276956,-10.497288194637145,28.983797600866385,-7.333990150504299,-0.3621778049651906,-0.4559489431006608,-0.3409341198880456,7.538956384602841,0.7745287552349388,-30.789784836097354,-9.104465699108703,169 days 00:00:00,46 days 00:00:00,3,0.0,-10.367398955782415,-21.066470377771463,-14.228940634850618,329 days,231 days,0.0,-14.082752251389088,-1.002465730673531,
ADI,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,96.0,1211218.8387802672,1307102.6154242926,552.786729933636,21.12188387802672,19.271326013547068,21.30770821603687,41.899111085131594,14.186735742112111,0.5085479778495389,0.9678687778922531,1.2123111573639624,2.371855669496025,0.9729495622330336,-17.576105017764696,-5.458794749570203,218 days 00:00:00,39 days 00:00:00,2,100.0,21.189794289870513,18.74874585991182,19.963061326988594,350 days,340 days,,19.969270074891167,1.0043807747851559,
ADM,LarryWilliamsPriceAction,2024-03-01,2025-02-28,364 days,88.4,781460.5487825138,1062589.78560043,454.1239693473248,-21.853945121748616,-9.684765946538292,-22.007953831253356,17.539843171167682,-15.693951799176487,-1.2547406277514748,-1.2719984353874596,-0.7348774618846431,-13.12927771923409,0.9008650751785137,-29.947787179120265,-6.9422313503322854,226 days 00:00:00,46 days 00:00:00,8,12.5,4.6489726602776615,-21.84429201481778,-11.884985081302945,322 days,184 days,0.04854019303300769,-11.390845280875595,-1.0173102397303744,-4879.607967414514
