asset,weight
BXP,0.09998791078156798
URI,0.09500110817835627
CZR,0.09263363623541739
MHK,0.05865285809272431
KKR,0.057040962301787186
INTC,0.046946464911043505
KMX,0.04202010839999194
BX,0.041183937458443315
TECH,0.0410932683202031
SWK,0.03140174487719369
ADI,0.031260703995486694
UAL,0.03123048094940662
CRL,0.029094719026414945
NCLH,0.028198101992706174
BLDR,0.027170518425983763
F,0.027029477544276762
ON,0.026838064919102983
EL,0.019131188168684896
WAT,0.015041002599181964
PLTR,0.014597731256674256
SYF,0.013358586367391349
ALB,0.011333642280026597
MCHP,0.010013902601196832
MGM,0.009006467731861135
CARR,0.00885535250146078
KEYS,0.006346839676814894
VST,0.0038181781547822935
AVAX-USD,0.044014829441276625
SOL-USD,0.02784549978843868
LINK-USD,0.009852713022103122
