asset,weight
AES,0.0587787504757762
AKAM,0.05638627589581861
ODFL,0.05442879669403513
TSLA,0.051546952313631676
STZ,0.051003208090914035
INTC,0.0439345331955848
DECK,0.04371703550649775
BLDR,0.04279267032787777
CBRE,0.04121581208199663
MCHP,0.036539611766624985
PHM,0.03414713718666739
CSGP,0.03327714643031918
MOH,0.03316839758577565
PLD,0.03126529280626394
LII,0.03050405089445925
GS,0.030123429938556903
LRCX,0.03006905551628514
MCO,0.029525311293567506
PCG,0.029470936871295747
CARR,0.02925343918220869
GM,0.0290903159153934
DXCM,0.028927192648578112
ADI,0.028764069381762822
SOL-USD,0.042085802838344843
LINK-USD,0.018759175683758362
XRP-USD,0.018650426839214834
ADA-USD,0.016801696481974878
LTC-USD,0.0158773313033549
ETH-USD,0.008971779674840955
UNI-USD,0.0009243651786199772
